bceG,bceGD,bceLD
1.9243354797363281,2.0945613384246826,8.163680076599121
1.9243354797363281,0.04772660881280899,1.127347469329834
1.9487756490707397,0.6074137687683105,3.493863105773926
1.9487756490707397,0.3131251037120819,1.6534652709960938
2.0585319995880127,0.4309064745903015,2.5538854598999023
2.0585319995880127,0.10646449029445648,1.5656366348266602
3.1167426109313965,0.3445426821708679,1.503320336341858
3.1167426109313965,0.034558914601802826,1.040781855583191
3.959846258163452,0.2950511574745178,1.0596060752868652
3.959846258163452,0.11082252860069275,0.19417287409305573
4.898105144500732,1.591767430305481,2.325018882751465
4.898105144500732,0.08788067102432251,0.7010514140129089
4.363340854644775,0.2447073608636856,1.4388487339019775
4.363340854644775,0.010125106200575829,0.4254441559314728
5.389171123504639,0.10634760558605194,1.5070005655288696
5.389171123504639,0.0005791790317744017,1.590519666671753
4.52460241317749,0.42803019285202026,2.020867347717285
4.52460241317749,0.001485972898080945,0.9585484862327576
